iter	Passed	Remaining
0	40	406762
1	70	352449
2	100	336298
3	129	323462
4	159	319349
5	188	313800
6	218	312412
7	251	314159
8	288	319979
9	319	319208
10	347	315253
11	378	314772
12	405	311382
13	435	310677
14	465	309652
15	496	309831
16	527	309880
17	554	307460
18	588	309065
19	620	309776
20	655	311281
21	693	314297
22	732	317562
23	766	318766
24	804	321146
25	839	322078
26	876	323734
27	909	323871
28	948	326085
29	985	327495
30	1024	329298
31	1061	330775
32	1101	332772
33	1133	332180
34	1168	332515
35	1200	332186
36	1237	333087
37	1276	334720
38	1316	336174
39	1348	335845
40	1388	337190
41	1422	337251
42	1463	338905
43	1510	341813
44	1547	342332
45	1579	341805
46	1612	341358
47	1649	341893
48	1689	343021
49	1732	344813
50	1764	344120
51	1796	343630
52	1836	344694
53	1870	344498
54	1919	347048
55	1970	349813
56	2008	350314
57	2050	351381
58	2088	351827
59	2140	354648
60	2181	355325
61	2231	357656
62	2270	358047
63	2309	358572
64	2355	359950
65	2394	360306
66	2423	359237
67	2458	359109
68	2495	359092
69	2532	359161
70	2574	360054
71	2614	360412
72	2654	360883
73	2691	360939
74	2722	360281
75	2760	360368
76	2797	360435
77	2837	360910
78	2872	360731
79	2911	360945
80	2950	361296
81	2989	361597
82	3023	361203
83	3072	362607
84	3111	362959
85	3145	362577
86	3181	362433
87	3217	362327
88	3252	362204
89	3291	362379
90	3326	362178
91	3361	361997
92	3396	361833
93	3445	363074
94	3491	364026
95	3533	364469
96	3570	364472
97	3608	364589
98	3645	364547
99	3680	364353
100	3718	364371
101	3753	364173
102	3790	364138
103	3825	364014
104	3859	363687
105	3892	363296
106	3931	363441
107	3965	363206
108	4001	363083
109	4032	362490
110	4063	361995
111	4100	361938
112	4133	361669
113	4172	361770
114	4208	361729
115	4241	361373
116	4272	360873
117	4306	360640
118	4342	360523
119	4379	360561
120	4415	360439
121	4453	360541
122	4490	360530
123	4524	360316
124	4561	360335
125	4599	360410
126	4634	360240
127	4670	360185
128	4707	360173
129	4744	360187
130	4781	360155
131	4814	359893
132	4852	359933
133	4893	360280
134	4929	360153
135	4968	360340
136	5008	360523
137	5045	360521
138	5088	360946
139	5125	360912
140	5162	360909
141	5203	361177
142	5240	361185
143	5278	361225
144	5316	361277
145	5348	360974
146	5384	360891
147	5422	360916
148	5463	361208
149	5498	361018
150	5535	361030
151	5574	361129
152	5613	361275
153	5658	361771
154	5698	361896
155	5739	362114
156	5770	361717
157	5813	362071
158	5850	362086
159	5889	362144
160	5930	362390
161	5968	362411
162	6010	362724
163	6053	363010
164	6097	363411
165	6137	363581
166	6173	363477
167	6213	363572
168	6251	363624
169	6287	363526
170	6321	363323
171	6357	363249
172	6389	362913
173	6425	362834
174	6461	362757
175	6496	362606
176	6532	362507
177	6568	362425
178	6604	362324
179	6639	362207
180	6674	362070
181	6711	362002
182	6747	361934
183	6783	361825
184	6819	361779
185	6855	361689
186	6888	361432
187	6924	361354
188	6959	361216
189	6989	360823
190	7021	360545
191	7049	360089
192	7083	359921
193	7117	359728
194	7153	359642
195	7189	359594
196	7219	359216
197	7255	359156
198	7289	358963
199	7326	358942
200	7361	358866
201	7397	358764
202	7432	358662
203	7467	358561
204	7504	358534
205	7539	358442
206	7574	358328
207	7609	358200
208	7644	358069
209	7680	358008
210	7714	357872
211	7748	357721
212	7782	357569
213	7820	357582
214	7855	357494
215	7890	357385
216	7925	357269
217	7960	357147
218	7993	356974
219	8029	356910
220	8058	356545
221	8096	356559
222	8133	356569
223	8168	356456
224	8202	356334
225	8237	356196
226	8272	356128
227	8306	355971
228	8340	355824
229	8374	355682
230	8405	355442
231	8436	355163
232	8472	355109
233	8509	355117
234	8546	355111
235	8579	354907
236	8613	354808
237	8650	354797
238	8684	354663
239	8720	354599
240	8757	354577
241	8790	354435
242	8825	354321
243	8860	354230
244	8896	354178
245	8931	354113
246	8966	354014
247	9000	353868
248	9033	353705
249	9069	353689
250	9105	353644
251	9141	353579
252	9174	353430
253	9209	353318
254	9245	353271
255	9279	353181
256	9312	353023
257	9349	352988
258	9386	352995
259	9422	352952
260	9458	352894
261	9494	352853
262	9525	352617
263	9561	352567
264	9599	352601
265	9635	352562
266	9671	352510
267	9702	352292
268	9737	352213
269	9773	352159
270	9806	352012
271	9842	351970
272	9877	351884
273	9912	351811
274	9943	351597
275	9979	351551
276	10016	351537
277	10052	351518
278	10084	351347
279	10119	351253
280	10154	351182
281	10182	350849
282	10212	350628
283	10244	350455
284	10280	350418
285	10315	350317
286	10351	350287
287	10386	350223
288	10422	350170
289	10458	350133
290	10490	349964
291	10517	349649
292	10551	349520
293	10586	349478
294	10621	349404
295	10655	349297
296	10686	349097
297	10720	348992
298	10754	348903
299	10789	348826
300	10822	348692
301	10855	348576
302	10889	348471
303	10922	348334
304	10959	348332
305	10993	348249
306	11030	348236
307	11066	348187
308	11102	348166
309	11138	348138
310	11171	347991
311	11204	347867
312	11239	347810
313	11272	347676
314	11308	347647
315	11343	347586
316	11378	347519
317	11413	347459
318	11445	347298
319	11479	347206
320	11517	347256
321	11555	347266
322	11589	347196
323	11622	347051
324	11658	347027
325	11692	346928
326	11726	346835
327	11755	346608
328	11794	346662
329	11833	346724
330	11869	346676
331	11907	346722
332	11942	346664
333	11983	346766
334	12019	346733
335	12057	346748
336	12084	346484
337	12120	346442
338	12156	346416
339	12193	346398
340	12225	346254
341	12260	346204
342	12295	346140
343	12332	346132
344	12371	346174
345	12405	346087
346	12438	345981
347	12476	346009
348	12510	345921
349	12545	345868
350	12581	345823
351	12617	345803
352	12651	345707
353	12691	345789
354	12725	345706
355	12756	345529
356	12791	345471
357	12828	345482
358	12865	345472
359	12900	345417
360	12935	345340
361	12969	345271
362	13005	345239
363	13041	345201
364	13079	345221
365	13115	345201
366	13148	345073
367	13185	345070
368	13222	345080
369	13261	345121
370	13297	345080
371	13333	345045
372	13368	344999
373	13406	345008
374	13440	344931
375	13467	344674
376	13502	344607
377	13538	344587
378	13572	344494
379	13607	344459
380	13644	344443
381	13679	344385
382	13717	344399
383	13749	344283
384	13784	344227
385	13816	344077
386	13852	344046
387	13888	344030
388	13923	343970
389	13958	343911
390	13989	343770
391	14027	343775
392	14063	343757
393	14100	343734
394	14132	343625
395	14168	343594
396	14205	343568
397	14239	343504
398	14275	343469
399	14310	343419
400	14347	343418
401	14385	343417
402	14417	343303
403	14453	343264
404	14487	343180
405	14521	343122
406	14559	343121
407	14595	343113
408	14629	343021
409	14665	342998
410	14700	342942
411	14735	342896
412	14770	342843
413	14806	342792
414	14841	342760
415	14877	342729
416	14911	342639
417	14947	342606
418	14983	342575
419	15020	342569
420	15057	342569
421	15092	342522
422	15128	342492
423	15166	342489
424	15204	342511
425	15236	342397
426	15273	342382
427	15308	342324
428	15344	342298
429	15380	342269
430	15414	342196
431	15450	342168
432	15484	342092
433	15521	342087
434	15556	342036
435	15593	342030
436	15628	341976
437	15665	341965
438	15704	341999
439	15739	341940
440	15774	341879
441	15810	341847
442	15843	341753
443	15876	341668
444	15911	341603
445	15943	341508
446	15977	341435
447	16014	341426
448	16051	341413
449	16085	341339
450	16121	341293
451	16158	341305
452	16194	341262
453	16232	341273
454	16266	341199
455	16300	341135
456	16335	341078
457	16373	341080
458	16408	341040
459	16445	341032
460	16481	341003
461	16514	340900
462	16549	340860
463	16587	340863
464	16624	340857
465	16662	340871
466	16697	340818
467	16734	340797
468	16767	340721
469	16802	340662
470	16839	340641
471	16875	340627
472	16910	340579
473	16944	340502
474	16983	340523
475	17017	340461
476	17051	340390
477	17087	340358
478	17120	340270
479	17155	340218
480	17188	340116
481	17220	340023
482	17254	339951
483	17288	339884
484	17322	339797
485	17354	339689
486	17384	339552
487	17419	339504
488	17456	339500
489	17495	339518
490	17529	339459
491	17566	339438
492	17600	339367
493	17636	339333
494	17672	339314
495	17707	339272
496	17743	339231
497	17777	339174
498	17812	339109
499	17846	339047
500	17884	339051
501	17919	339011
502	17953	338932
503	17985	338834
504	18021	338811
505	18056	338759
506	18095	338779
507	18131	338756
508	18167	338716
509	18202	338678
510	18237	338628
511	18274	338615
512	18309	338561
513	18341	338464
514	18376	338421
515	18413	338408
516	18448	338349
517	18483	338302
518	18518	338250
519	18555	338236
520	18591	338217
521	18626	338161
522	18660	338093
523	18694	338028
524	18726	337941
525	18763	337927
526	18798	337875
527	18833	337822
528	18871	337827
529	18904	337742
530	18941	337730
531	18979	337742
532	19013	337673
533	19046	337596
534	19079	337502
535	19113	337448
536	19147	337387
537	19180	337306
538	19216	337271
